,,Area name,Area budget,,,,,,,,,,,,,,,
,,Kársnes,33,,,,,,,,,,,,,,,
,,Digranes,62,,,,,,,,,,,,,,,
,,Smárahverfi,24,,,,,,,,,,,,,,,
,,Fífuhvammur,36,,,,,,,,,,,,,,,
,,Vatnsendi,45,,,,,,,,,,,,,,,
,,Samtals:,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nr,Area Name,URL to original idea (optional),Cost,Location 1,Location 2 (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl,,,,,,
8,V4,Vatnsendi,https://yrpri.org/post/59024,8,"64.072673, -21.824912",,Leiktæki í Guðmundarlund,Endurnýja og fjölga leiktækjum í Guðmundarlundi,,,,,,,,,,
9,V68,Vatnsendi,https://yrpri.org/post/59863,10,"64.085011, -21.847984",,Sleðabrekka í Austurkór,Gera sleðabrekku í Austurkórnum eða þar í kring,,,,,,,,,,
10,V74,Vatnsendi,https://yrpri.org/post/59736,4,"64.084558, -21.829403",,Lýsing við undirgöng milli Ásakórs og Hörðuvallaskola,Bæta lýsingu í brekku við undirgöngin milli Ásakórs og Hörðuvallaskola,,,,,,,,,,
11,V22,Vatnsendi,https://yrpri.org/post/59115,17,"64.071832, -21.816909",,Malarstígar fyrir gangandi og hjólandi á Vatnsendaheiði,"Aðskilja betur reiðstíga og göngu- og hjólastíga á Vatnsendaheiði, í nágrenni Guðmundarlundar",,,,,,,,,,
12,V33,Vatnsendi,https://yrpri.org/post/59096,12,"64.085058, -21.828209",,Stór kastali á lóð Hörðuvallaskóla,Setja upp stóran kastala með klifurgrind o.fl. á lóð Hörðuvallaskóla,,,,,,,,,,
13,V38,Vatnsendi,https://yrpri.org/post/59055,9,"64.083428, -21.817323",,Æfingatæki (þrektæki) í Þingahverfi,"Setja upp æfingatæki í Þingahverfi, við stíg sunnan Boðaþings",,,,,,,,,,
14,V43,Vatnsendi,https://yrpri.org/post/59567,20,"64.082004, -21.826759",,Strandblakvöllur á opnu svæði,Gera strandblakvöll á opnu svæði við Tröllakór,,,,,,,,,,
15,V57,Vatnsendi,https://yrpri.org/post/59684,13,"64.093060, -21.802607",,Leiksvæði við Grundarhvarf,Endurnýja leiksvæði milli Brekku- og Grundarhvarfs,,,,,,,,,,
16,V30,Vatnsendi,https://yrpri.org/post/59049,3,,,Ruslatunnur við göngustíga,Setja upp fleiri ruslatunnur við göngustíga og hafa þær með loki,,,,,,,,,,
17,V12,Vatnsendi,https://yrpri.org/post/59341,10,"64.079648, -21.817366",,Meiri trjágróður í hverfið,Auka við trjágróður við Þingmannaleið og nágrenni,,,,,,,,,,
18,V91,Vatnsendi,https://yrpri.org/post/59848,11,"64.089786, -21.812059",,Lóð og leiktæki leikskólans Sólhvarfa,"Leikskólinn Sólhvörf, endurbætur á hluta lóðar og leiktækjum",,,,,,,,,,
19,V62,Vatnsendi,https://yrpri.org/post/59401,10,"64.092635, -21.801577",,Lýsing við stíga í nágrenni Brekkuhvarfs,Bæta lýsingu við stíga í nágrenni Brekkuhvarfs,,,,,,,,,,
20,V75,Vatnsendi,https://yrpri.org/post/59005,11,"64.086043, -21.839670",,Leiksvæði milli Almannakórs og Álmakórs,Gera nýtt leiksvæði í skógarrjóðri milli Almannakórs og Álmakórs,,,,,,,,,,
